caption,username
"very crowd in here, I come to this beach at 14.00 and its very hot. this place have a wide car / motorcycle park so dont worries …",agas maha astra
Batu bolong beach is just a stone throw away from my home. Black sand beach with its unique beauty. Gorgeous spot for sunset - each day is a different colors of sunset.,Dhita Beechey
Awesome beach with great surf. I took a lesson from one of the booths on the beach and it cost 350.000 IDR with the board and instructor for 2 hours. I also ended up renting a chair which cost 50.000 IDR. …,Brian Khorshad
Nice place to see golden sunset.,Ahmed Alnossari
"Black sand beach and excellent location to view sunset. Easy going vibe and easy weave suitable for beginner surfers. Wide selection of spots to hang out, chill out or relaxing to watch sunset. Many cafes popular among visitor such as Old Man's, The Yard, etc",Irma Nirmala
Nice beach. Good wave. We can do a good surfing here. …,romi chi
"Batu Bolong Beach is such a nice place to chill and if you're an extreme sport enthusiast, you could try surfing or kitesurting. …",Velentina Sutari
"Amazing sunset spot with chill live bands!  Great spot to watch the sunset!  Bean bag chairs, bar service, chill bands (a reggae band was playing when we were there).  Awesome vibe! Highlight of my trip in Bali.",Jane Middlehurst
Love this beach! I got 2 beds and surfboard for 3 hours $10. Didn't bargain so probably could have got cheaper... but great spot for all levels of surfing. Great place to watch the sunset. Good vibes from the locals. Absolute bangers and …,James Smith (JamesOhSmith)
Nice place to enjoy sunset and surfing. So many tourist walk arround with their pets.,Tumpal Samosir
"Also called Old Mans Beach. Best spot in Canggu for beginners and intermediates (can‘t tell for advanced surfers). There is a reef, so better avoid low tide. Mid tide was the best so far. A couple of places to rent boards and ask for a local surf teacher. At the moment standard price for a 2 hours rent is 50k.",Yvonne Herzog
Beautiful place you must visit,balionscoot
"Go to Tanah Lot, after parking we got this place first other than Tanah Lot. I think, we entrance the other part of tanah lot. Great View, but sadly when we come ther it’s a high tide.",Nur Hadi Triyanto
"A great location to buy some corn, have a cold coconut or bintang and enjoy the sunset! The surf is also pretty good, wat g out for sections of reef when it’s low tide, no need for reef boots though, as long as you’re careful!",Louis Lander Deacon
"This is a great and friendly beach with lovely street dogs (beach dogs), and a great place to start learning how to surf. The local teachers are friendly and beach chairs were always available when we went.",AmiracleMira
"More quite than Segara Perancak Beach. There are some cozy cafe here, just to make our day even cozier here. Many sea corel in the sore of the beach, but still many surfer surfing here. …",Pinky
One of the best beaches to surf at with no entrance fees. You can sit by the lounge chairs or bean bags for free when you buy a beer or cocktail at one of the beach bars near the shore.,Lisha C.
Best beach to watch sunset and have a bowl of bakso :)),Amalia Mufti
Another pretty beach in Bali for surfers 🏄. The high tide doesn’t leave much space for the beach but low tide is the opposite way around,Rita Feliciano
It is Recomended place for waiting Sunset while you listening Live Music ... Marvelous. Parking Fee for a car only IDR 3 K. No more charge.,Wegig Nugrahadi
"Great to drink your coconut and watch the sunset. There are better beaches in Bali to swim, here is good just to surf. There are lots of board rental options, also to hire an instructor if you wish. Board rental is 50k, 2hrs lesson - 350k. You can find a shop to rent a board earliest 6:45-7am. Most of them open at 8am.",Yildiz Alidzhikova
"Love this place! Relaxing and not too crowded... Able to rent surfboards, or just simply relax on a daybed with a coconut and your favourite book...",Shi Min Foo
We went to a date close to Nyepi so the road leading to the beach got a bit jammed. The beach is clean and good for surfing. There are a few small stores that sell noodles and drinks along the beach. My children had fun playing with the sand.,jhen leanos
"I love how the café located exactly in front of the beach so I can just chill, relax, and watching sunset with my partner friends. this place is very lovely for the sunset lover. what I love most is how many happy dogs playing around. what I bit annoyed is many people just don't responsible take care of their own trash",Lelie Liana
These waves absolutely destroyed me while trying to surf for the first time 💀 try to get a instructor here or go to kuta beach if you want to try for the first time.,Luna de Ruijter
Try to visit the beach around June - July. Nice to get sun bath but not too much. The temperature quite nice approx 25°c. Wind is enough. The sand is not too hot when you walk on it. Wave is awesome for families in shore and surfers in the …,Nita Hair
"Beautiful beach with big waves. Many places to get surfing lessons if you're a beginner, or catch some great waves if you can already surf. Many people exercising on the beach. If your dog likes the beach too, there are many dag walkers …",Danielle Calva
"Very touristy as expected. But beautiful place to relax on the beach. Very easy to get food, a range of drinks, free seats or bean bags, and surfing lessons if you're up for it! Proves are all very reasonable. Stay until sunset and there's free music every night. On a clear night you can see the stars and planets too.",Jon Tennant
One of my favorite beaches in Canggu. Batu Bolong is a good place to learn surfing. There are many surfing classes provided by experienced local surfers. The beach is short walk from Old Man’s Bar. …,Zohid Mamadjanov
Nice beach with good bars. Nice to have a beer and watch the surfers. The waves are for already littlebit experienced surfers. Thumbs up,Chef Oleg
Beautiful beach and mythical also for sunset.  There are a lot of corner and spot to choose. whether you need to calm down at twilight or just to see the render of beautiful color alone. The food is great too.,iwan j prasetyo
Beautiful beach not too crowded ... if u not into surfing ... its still a  nice stop to enjoy the sunset listening to live music @ Sand Bar.,Sunny Sherap
Great beach for surfers who are beginners and advanced alike... Great places to eat and some of the best sunsets I've seen!!!,Dillz H
"Nice surfing beach with awesome sunsets and the ""Batu Bolong"" rock with its temple. Nice music right in front of ""Sand Bar"" on evenings",Guillaume Souvrain
I think this was my favorite beach in the from the area. Kuta and Seminyak are extremely touristy. If you walk to the right of this beach you can be in a pretty secluded area. I often sat here and watched the wave while journaling.,Misty Breshears
"Batu Bolong Beach, the favorite of surfing enthusiasts, has made the town of Canggu popular. Many active surfing enthusiasts live in Canggu or spend their holidays here.",Ismail Onal Morcul
It was fairly clean and vibes were great! Lots of people and many things to do and eat! My favorite beach in Bali so far. Need to explore more still!,Abdul-Samad Ahmed
"Let's come to bukit surf school we teaching you learn how to standing up,catch wave,paddle,turning and how you starting paddle when you see the wave from the Oceon",wayan_ bukitblacky
beautiful beach. good for sunset. come here at 4 pm til the sunset for the best viewing experience,gebaskaras
Nice and mostly clean beach. Affordable prices for chairs and surfing lessons. The waves are awesome and fun to play with. Cool bars are close by. 5 stars no less.,Eike Stoll
"Beautiful beach, clean, theres a stairs down to the white sand beach",Anton Hendarto
Fantastic place to enjoy the sunset time and having surfing lessons. Especially if you want to learn.,dan rem (Hell Blau Me)
Hello everyone!  Good surf spot in morning or evening and overcrowded nightlife place!;) There …,Victor Naumov
"Nice beach for playing water, kite-ing or enjoy sunset. You need to pay 2k IDR for parking (motorcycle).",Nintia Isath Fidiarani
Beautiful Bali...laid back beach with lots of friendly faces. Wish I could have stayed longer. The most amazing sunsets 🙏☀,Zunobia S
"Nice spot for Surfing, start from early morning you can find nice tide. Can rent some board at the beach from local people. With white sand you can playing also.",Kesuma Atmaja
"Another option of beach in Bali you need to see. The beach still pure and clean from waste, better than Kuta Beach now. you can learn to surf here.",Hani Tjoa
"Great waves for surfing, and while the crowds are starting to arrive, it is still quieter than the main beaches at Kuta and Seminyak. Sunsets like you dreamed of.",Corenub
"Nice long beach. There is no entrance fee, but you pay for parking scooter - 10,000. Its popular mainly among surfers. You can find lot of surf shops and surf schools here. Also you can expect lot of dogs on this beach too, but they are usually friendly, because they want some treat from you.",Lubomir Kovalcik
"Great beach with a lot of waved, perfect for surfing",Tobias Bader
This is place located upper one of famous beach Kuta est. 10-20 minutes or you can take a walk from Kuta to this place . …,Hathaiwan J.
"Often the first beach stop when in Canggu! Pretty great sunsets (although catching one at Berawa is better/less crowded). Batu Bolong is the spot for surf lessons, cocktails, and 4am dance parties at Sand Bar.",Elizabeth Andie
"Batu bolong beach is one of my favorit beach in bali i can sunbath here , swim and surf at the sea , perfect to watch sunset with live music , and I still can go back for the party at one in the morning until four . Just perfect",nor march
"Very beautiful, awesome parks for shade & relaxation.",Gary M. Dow
touristic beach w many restaurants . lovely place to learn to surf. and sometimes have big waves. best advice for begginers always hire boards and an instructor; save your neck than your money!,surfer Naif
"Beautiful beach with black sand. Many cafes are available with bean bags so you can relax while enjoying the beauty of Batu Bolong beach. Besides that, there are also many beach clubs around this beach. You can choose one of them that you …",Aprilia G
"the cool place for learn surfing...i'm newbie and this place is safe for you learn the surfing. have many instructor  will helping you and teach you as long you know the correct price ( because i learn from my friend so, i don't know how …",Wiet Ristu
The beach quite clean with a good wave for surfing.  There are sitting and sunbathing  place on the beach.  Near to the Old Man Resto,Julius F Siregar
"Very long beach with dark sand, many small cafe, good for surfing and jogging",Studio Man
The beach is very clean and not too crowd in themorning. Nice view but the bathroom is not open :(,Raras Ayu
Nice place to watch some surfers play and beautiful sunset. Comfortable chairs in several cafe. Or just walk and sit on the beach sand.,Richie Adiyat (richoz)
Great place to relax and have a swim or have a bite to eat at any of the local restos,Andrea Smirk
"Amazing sunset. Clean beach. Amazing waves for beginner surfers like me. Comfy atmosphere, not like other crowded beaches",Marco Tabo Silalahi
"If you're surfer I think you have to try this beach .. many tourists here for beers, snacks or maybe just for sunset. I think it's not in beautiful category. But still beach.. hehe and lots of people come here.",Trisna Adi Nugraha
"Nice beach to hangout with friends and enjoy the sunset here. For those of you who likes to surf, the waves are great.",Edo Adras
"One of beautifull beach at Canggu Bali  You can enjoy nice beer or juice in the beach caffee, enjoying the sunset …",Ricardo Tanada
"Beautiful place for the sunset. Only you, wind, sun, and ocean. Good place for surfing but not for the swimming",Max Viktorovich
"Good beach to try surfing for the first time, amazing for sunsets and great for partying",Amanda J
Beautiful beach with big wave. Enjoy the great sunset with your mate.,Habibi
"beautifull beach located in canggu, clean, nice place for surfing",Novia's Stories
Everyday sunset point ✌️Great place for surfing and meetings!,Roman Gutikov
"The first beach to visit in Bali in the summer of 2013!! I still go when I can. Perfect for surfing if you are not an expert, you can eat very well and you can rent surfboards with instructor.",Frank Balikok
Very cool beach. Lots of surf schools and board rentals. Lots of food and drinks available along the strip.  Good waves for beginners,Mikhail Abbott
"Lively beach, great for learning to surf! Nice beach bars with a view on the surfers. Very very nice.",Jelle Bos
"Great surf, very casual place and very similar to an Aussie beach!",Julie Bathgate
Nice beach could sit n watch the waves and surfers all day,Lisa Brown
Stunning sunset view,Kyryll Kovalenko
"Good wave for your surfing and Get your surfing photo near sandbar batubolong ! With surf photographer .. take photo everyday from 8 at morning until 3 o,clock ufternoon .. chek your photo and keep your memories at bali",NINA kids show
"So much love fo this spot .... relaxing, peaceful. Cant wait to be back. I even came here twice within this week .... Sand Bar is so friendly and warm, simple tiny place but would make feel cozy.  Lv",Bo Lara
Full of BULE here!! Nice beach and recommended to surf here.,Farid Ramadhana
"Good for first surfing lesson, nice waves for beginners :)",Emilio el Prestidigitador
Great surf! Surf instructors are very good and meticulous. Scooter parking all day for only 2000,Ross Lorenzo
"Batu Bolong Beach is a place to enjoy the sunset, besides that, the rocky beach is a place for sunbathing and surfing .... the best stone beach",Dance Indonesia
Great place although the efforts the beach still needs some cleaning. In an other way its a awesome place to party!,José Neves
Beautiful white sand beach. Relatively easy to access with stairs. Enjoyed the view from the cliff and the beautiful white sand beach. We were also so lucky to see the full moon right after the sun set.,Dinda Puspitasari
"Loved this beach. We had to pay 2k IDR upon arrival, which was okay. Beach was pretty empty, definitely not crowded like the one we’ve been before in Jimbaran. Had a nice walk until the far end of the beach, and we got two very comfortable beach beds for 50k IDR in total. The lady who owned the beds was extremely friendly and welcoming. We also got two coconuts for 25k IDR each. They were huge, full with nice sweet coconut water, and with a lot of coconut meat to eat. They were incredibly good. Spent the afternoon there, had an amazing sunset just in front of us. Before leaving, we paid 5k IDR to use the toilet of the nearest warung. It was clean, well kept, locked with a key so only those who pay the fee can use it. It was a great experience altogether. Plus, an amazing spot for Instagram photos!",Fernando Rees
"Good place to have your beach day out😍 What a perfect combination between white sands and blue wave. Many tourist come here to do surfing. Beside that, if you go to the cliff you will get a great view for sunset. There is no entrance ticket but all visitor should pay for parking fee. Motorcycle was charged for IDR5000😍👌⚡",Dila Paramita
Remote serene beach with high cliff for spotting sunset.,Yenny Kartika
good beach has 2 entrances 1 way to the cliff 1 more to the beach all is nice,Natalia Tarra
"living in bali means visiting endless beaches and each beach can always make you smile, refresh and heal just by looking at it, one of the most beautiful beaches i've ever been to",Gek Dita
Blue water Dark sand but clean Enjoying sunset view,Faisol Fong
It was very relaxing to see the waves and endless ocean from the cliff. Best to come in  early early morning before the waves get to crazy.,Desi Natalia
Balangan beach is one of the best beaches in Bali. It’s better when you’re visiting the beach in the afternoon and see what this beach has to offer!,Wahyu Wiryana
Awesome beach. Really good for surfing. Big waves and very neat and clean beach. Good fun.,Rajeev Saigal
"amazing place, clean beach, a lot of surfers, and the entrance are bumpy ☺️",Nadya Ruata
"you hate your job, come here and let the nature absorb the negativity. breath taking view, nice.",Laila Sari Andhika
Very beautiful for picnic,Evgenia Sabadash
"Adorable beach down in uluwatu. Parking fee is 5k idr. We recommend to go to the cliff first and after, to come down to the beach for a swim. The waves there were insane! Some locals offered us sand chairs for 200k at first, but we said no, …",Karina & Martin - WhyWeTravel
"Last time I went here with 2 of my friends, the beach was realllyyyyyy coooolll! fr no jokes, the water is so clean(except after raining). the waves is pretty big too so if u lookin fo a beach to surf, try here! but I dont recommend u to come when after raining, or else u gon swim with a bunch of trash in the water.",Fernando X
A hidden beach that’s pretty far from the main road. It’s stunning with sea cliffs and white sands. There’s a hindu temple nestled among the cliff walls.,alwin tom
"This place is just beautiful, i tried to swim down there, but actually im not a good swimmer, and the waves just crazy back then 😂 so i kinda drink seawater. Ah they'll charge you for parking only 5k rp for bike and 10k for car",Queen Al Balqis
The hill is awesome!,rangga atmanegara
Pleasant beach with clean water and nice view. The beach is famous in Bali and offers many beautiful views. In establishments the prices are normal and you can spend great. They shoot a lot of weddings and it's normal to see over 10 couples and photographers in a day,Maistor - BG
This beach has a beautiful sunset,Haris Arisandhi
One of the best beach with breathtaking view on the island.,Adith & Lytha Story
The beach is great! You will find some good spots for snorkeling as well as surfing.,Stefan
Balangan beach is marvelous! You are able to enjoy this beach either from the edge of the cliff or down the beach! …,Yogi Astara
"Beautiful beach, a bit remote, one of the best place to see the sunset. You can enjoy it from the cliff or from the beach. They only charge for vehicle, no admission ticket for visitors. Too bad most people left their garbage there, so it …",Nur Asiah
"nice spot for sunset from the cliff, good place for swimming too with clear turqoise water",Wianto Lim
"Gorgeous place, you can take pictures on the hill with the ocean or Rock Bar hill as the background, or even that Balangan Beach as the background, and you can go down to the beach with the rock hill as a background. But if you take your …",Wiedia Zhang
"Gorgeous, white sandy beaches with amazing surf. 5 min walk down stairs to get there.. There’s a just a handful of cafes, surf hangouts, basic accommodations, & a few bars. Quiet but enough around to hang for the whole day & be well fed & …",Sarah
Jaw dropping. Force yourself to make it here for a sunrise and stare in awe as the sun peaks it’s head over the coast and onto the fishing boats and waves of the ocean. The only people you’ll run into are local fishermen with a line in. …,Andrew Peluso
This beach has magical harmony energy especially sunset time.... few locsl warung serve nice food/drink,Yoga Intouch
"This beach is very beautiful to see sunset, the waves are not so big suitable for swimming and surfing, entrance ticket is only 3k in Rupiah",zlaapril 26
"exquisite.  can enjoy the beach and sea from the top of the cliff, can also go down to the beach very easily.",Ribka Carolina
Always love to be here. You can see sunset from two different places. By the beach and by the cliff. My fave will be by the cliff. Surf watch is also one of the reasons why I always come to this place. Much love for this place!,Farah Salampessy
"Balangan beach is definitely a place to visit! Especially when it's low tide, you can see small ponds on the rocks. Love the dramatic view from the cliff above, and definitely the best sunset view!",Indra AD
"I love this place 3000. The white sand beach, the stone arrays by the beach, the green blue gradation of the sea water. Luckily i came in the morning so there are only few people on the beach. It is …",Ni Wayan Rahayu
"Good spot for surfing. Very beautiful scenery and beach. Suitable for prewedding also since they have hills, stairs.. white sands.. great waves. Nice restaurants who offers surfing lesson.",Veronika Juliana
"Great beach! Chill place with some good but rather cheap food, the local is really friendly, they don't shove their merchandise in your face to force you to buy their stuff, the sunset spot on the cliff is beautiful",Kadek Chandra
"I like this white sandi beach, my favo place for swimming and get tanning",Dina Septiani
"One of Bali's best beach location, not for everybody, but great for those who know.,,,,,, yes you can swim, have some cheap food and beer and watch some surfers in action. Great place to relax.",Graham James Arkley
I've come to here sooooo many times and never get bored. This beach is sooooo beautiful. You can relax while listening music and maybe buy some corn or just stare at the waves. And if you lucky you can meet this super cute dog😝,Erin Ariyanti
"Truly beautiful, amazing place to visit. Balangan Beach is one of the best for enjoying sunset, also known for prewedding spot",Wiryawanb
"Great view, nice beach, enough wave for surfing maybe, sunbahting and also you can take a nice pics from the cliff, there also good for preweding photoshoot, so take your camera and take some pics then hahaha",Moving Up Management (Robot Email)
"If you look for a beach with less people, then Balangan Beach is one of those beaches! …",Aulia Ekina
"Nice place to rest, enjoy and watch sunset",Luisa Verdiana
The sunset is just so  beautiful.,Julie Nita
"This beach is located between two cliff so it feels like quite an isolated beach. Most of the visitors were bringing theirnown surfboard since the wave was suitable for surfing. Too bad that the trash, especially the plastic trash, was too much. C'mon people! Please stop using plastic!",Eben Amadangi
Beautiful beach with really charming view. Worth to visit.,Deyum!
should we call it hidden gem?,Pica Sanjaya
"the sunset here is very nice, we can relax while looking at the scenery. suitable for swimming. I highly recommend to visit",erdi yanta
"One of the most beautiful beach in Bali and my favourite too. Here you can catch the sunset until its gone. And really worth it for your instagram feed 😉This place is a must to visit while you are here, in Bali",Kris Eleven Nuari Marpaung
Best time to visit is around 16 to 16.30,Rivelino Aritonang
"It is one of beautiful beach in Bali. Not that crowded, clean, and the wave is also good to surf. Never skip this place whenever I visit Bali.",Rianthie Hanazk
"A very good place to relax and enjoy the sunset, and is great for those of you who want to play surfing",PETER EWERD REYNHARD
"Nice beach for surfing, not too crowd in August 2020",agas maha astra
such an amazing place to visit on sunset. Very chilll beach warungs.,Sezin Kızıltan
Surfer spot! Not the best beach for swimming but we did attempt it. The beach is beautiful.,Randi
"Top of my fav list. You can do beach walk, swim, surf (I don't surf but as It is based on what I looked). There are bars and cafes. Extremely recommended.",Dionisius Funan
"Very nice and calm beach, but a lot of rocks to get ibto the water. Bring slippers or watershoes. Surfing is possible but not for beginners!",Joel Wickli
Beautiful Beaches. Famous for surfing and pre wedding photography. It's cost 500.000 for local. 5.000.000 for pre wedding photoshoot charge,Damai Susanto
"I fall in love with this beach, first time I visited here in 2012. The beach was kind of many people now, but nothing changed, it’s still perfect. Hey the sound of waves incredible so much. You will be feeling happy in instant when you arrived here.",Ahsania
The best thing about this beach is the sunset  which is magnificent!!,Mei Harsetiani
Clean beach. Great view and not too crowded. The best beach I've ever been in  Bali so far.,Bismi Rakasiwi
Such a beautiful beach in Bali. Very good beach for surfers for surfing. The beach is very clean actually. It's great to see the sunset from the coastline. Lots of prewedding shoot from abroad that is done in this beach. Lovely Balangan Beach 😍,Riris Siahaan
I really love Balangan Beach since there is a lot of memory in here. And it feel nice to spend some time to enjoy the sunset.,inna miladini
One of the best beaches in Bali... For sure!  Do not miss sunset view from the cliffs,Azman Ansari
"This is a paradise for surfers. You can find mettle restaurants beach front and you can get a drink while eating local or western food. Good prices, local cozy restaurants.",monique curcio
"Sweet escape, hidden paradise, the best sundowner spots in Bali.",Ryyy Annie
View from the top of the cliff,Zidni Azzaituni
One tourist destination that should not be missed if you are in Ulu Watu area. Compulsory stop by this beautiful beach. The white sandy beach and the color of the sea water are greenish and bluish adds to this beautiful beach from the top …,Ary Haryanto
A really great beach! Nice view and amazing sunset spot! Pay 3k for the bike parking,Alicia Millennium
Very nice and clean beach with beautiful cliff,Imas Yenni Rachmawati
Such an amazing view out here!!! must visit beach in BALI! Love love love,Vina Ken
"Very good spot for prewedding photos,also good for skin tanning at the beach. Take few minutes in there and feel the sands under your feet,take a beer and free your soul..",Shandy Wong
"Balangan Beach is one of Bali’s most scenic spots, featuring a gorgeous half-kilometre stretch of golden sand between vegetated limestone cliffs. Locally referred to as Pantai Balangan, there’s a reef just off the coast that creates one of the longest left-hander breaks on the island.",Thyto Rebellious
"That was a truly beautiful beach 🏖 we arrived at high tide, it was a bit wavy but so clean, so nice. I could just lay down and watch surfers 🏄‍♀️. In the afternoon tide was low and no waves 💜",Evgeniya Swift
Perfect beach to see sunset and take some photos on it's cliff,Andy Wirawan
Nice clean beach and some great views from the cliffs above the beach.,Alit Mahisa
The best sunset point in bali,prtmaa
"Beautiful beach, not crowded, good for surfing, clean, quite far from the airport, less directions but it's ok.",Sylvia V
"Beautiful beach, good for surfing, food and drinks. It is worth a visit! Better to come by scooter as uber/grab/gojek might not be available to go back and locals …",Stefano Callegaro
Balangan beach is best beaches in south of Kuta Bali. Worth to visit while in Bali.,Jero Susun
The sunset never fails.,Yosua Septian Elia
"clean beach, friendly people, amazing sunset the sand is soft",Mei
"My favourite spot to surf and hang out a day in Uluwatu sea. There’s a very good restaurant in the corner called The Point, really suggested one...for surfers Low spot is no good but when the sea come up, it changes everything!",Daniel Sáez
"Beautiful magic beach. Free beach parking, free beach entry. 1000IDR fee parking for Cliff point view.",Cristian Ratiu
"beautifull.. wonderfull.. i can spend lot of day just to relax and chill out in this beach. with white sand.. lots of cafe and hotel arround this area. u also can surf in here.. snorkling, scuba diving. this one is a good spot. peacefully.. …",Riki Hardi
"Good place for date, And beautiful view sunset",fajar astra
"This place was stunning at the first sight, the green algae seemes like a natural grass in golf yard. So beautiful. And the most amazing thing about this place was we could enjoy it from above at the top of the hill either we could jump to …",Matthew One
Balangan is very beautiful place for relaxing and sunset.,Noy Sofianita
"Amazing beach whit great view and very clean, waves nature food and white sand!!! 👌🏻",Romulo Haoach
"The sun set view was amazing. People come here to camp, surfing, snorkeling, take pre wedding photos, play around the beach, etc.",yulia agnis
Surfers' paradise . There are some hidden spots around the beach. Less crowded no entry fee.,Sayantani Roy
Absolutely love Belangan Beach. Always eat at the Warungs without any fear and the sand is clean and white. Better swimming at high tide to avoid the rocks.,Lisa Matthews-Whelan
"Absolutely beautiful, there is a cliff nearby that most couples use for pre-wedding photos and the beach is really nice for chilling. The sunset in this beach is really beautiful",Leo Sanjaya
Nice place for sun set view,Romi Harsono
Bagosss,agung Indra
"Beautiful beach with a strong waves. What i like is, the rock by the beach, its like chair, that i can sit.. Haha.",nil neo
Beautiful place with smaller surf than other spots. Its a great place to relax and enjoy good food. Support the local warungs along the the beach.,T.Lyndon. Massey
Nice beach for chill 🤙🏻,Ari Darma
"Yeah, one of famous beaches in Bali. Nice view, nice waves, nice vibe",Triyan Ardiyana
One of the best beach in Bali. Don't come on sunsets because it's too many wedding photoshoot,Mariya Ploshykhina
"This view is taken at 5 to 6 pm in the noon. The weather is good with a little bit cloudy. However, the sunset still showed itself in a very good scenary. What a lovely sunset and waves you can see and enjoy at Kuta beach, Bali. Many people, from couples, grup of friends, and a big family, spend their leisure time sitting in the seashore of this beach.  To enter this beach, you only need pay for the parking service, 2 thousand rupiah for motorcycle. Then, you can enjoy swimming or drinking coconut water here. The fruit is big, delicious and still young. The price is 35 thousand rupiah, quite commensurate with the large of the fruit wkwk.  Although the sunset is already gone, people are still sitting there to simply talk together or enjoying massage services. For your information, many women there offered this services to the visitors, it can be men or women. The massage is priced from 10-35 thousand rupiah, it’s depen on their work hour. Somehow, they almost like forcing you to do the massage, just say sorry or thanks to them politely it you are not interested in massaging there.  Not only enjoying the view of the waves, but also you can visit many cafe, restaurants and also mall near to the beach. There are also some wagons that are ready to bring you down the street. Moreover, you can see many souvenirs shops accross the beach. They offered many discount to all items. Feel free to negotiate✌🏻",Ghea Azzahra
"Less than one minute from Pullman hotel where I stayed. Almost ever morning I came here to take photos of sun rise.  It's a shame that this beach lost 90% of its tourist during Covid19. If you come over here, you may help the domestic commerce by buying the coconut water or the cold drink. There's another option to enjoy your holiday here, such as trying a new experience by surfing. You can't? You could be glad because there are so many surfing trainer here.",Nat Furgeva
"The most popular beach in Bali for domestic even international tourist. Kuta Beach also a good place for you all who wanna learn to surf. There are so many things that locals will offer you in this beach. Massage, surfing lesson, food & beverages, souvenir, and many more. Just be careful when you come to this beach at the first time. I suggest you to act like 'it's not your first time'.  See u on my next review. Do not forget to follow my instagram account ➡️ @pabs.inc",Muhajirin Massikki
"It used to be very crowded, but these days you can enjoy this nice beach more and more...",Danang DKW
"Great beach, great vibes, beautiful sunset",Mahmood “Mahey182” Ibrahim
"This is why this place so legendary. Beautiful with many activities. Close to the mall and right at the sideway of the mainroad. No wonder many local sellers always come around from anywhere. If you dont like to walk to go to the beach, this is the perfect one for you. Just park and you’re already at the beach. Lovely but crowded most of time.",Matthew One
"Nice Beach but now the abration make look different, not enough space for people seating. Anyway its goid to see many people come to this place...👌",Eriyanti Bloemhard
"Convenient beach to visit, due to its easy acces, close distance from the city central and the airport, and free entrance. Pretty during sunset as well, and the waves along the shorelines are relatively safe for swimming even for kids. Found a cone snail and a crab along our walk.",Octavianti Shanna
"most likely recommended if you are a beginner want to learn how to surf. I really love jagung bakar that you could find in the parking area in front all over this beach, it is delicious and cheap (10k IDR).",dinda setya
"Kuta beach always have a different ambience than other new beaches you can find in Bali. So pretty. Actually i wasn't always coming to this beach anytime i travel to Bali. But the last time i was coming there it just so pretty, and the first time i can enjoying time play by the water on a beach.",Chrisna Angela
"This beach was so clean (Oct,2021) Last time I went for relaxing in Maret,2019 was so dirty and many crowded. Because Covid, everything has change from the situation and condition, usually the road always traffic and crowded and also many people so I cant enjoy for the long time.",Rangga Deri
"a very famous beach, but in January it is very windy and has big waves, hopefully the garbage and dirt carried by the waves can always be cleaned because this beach is very popular.  close to hard rock, beachwalk and various other hotels",Michael Reinhard
"Very very touristic, there are much better beaches at Bali, but still it is worth a visit even in a storm :) , lot's of shops, knock off goods, and on beach services.",Alex Baar
Kuta beach is always one of my favourite beaches with dramatic scenery,Majestic Thunder
"Beautiful beach, giving you a lovely sunset view",Alfarma Prima Medika
You should always stop by this place every time you come to Bali just to enjoy the sunset and the soft white sand on this beach. It will always be.,Agung Pariyana
One of the most... famous beach here in Indonesia. Quite a long and large beach. …,Creeps Ardhana
"The famous Kuta beach! No need further information. Just enjoy the view, the sunset, the sand and the waves from the sea!",rachmat sutrisno
